brown,100,600
brown,1130,600
yellow,350,600
yellow,880,600
yellow,615,600
yellow,200,500
yellow,1030,500
green,400,500,400,600,right
green,830,500,680,880,left
ammo,615,450
red,100,400
red,1130,400
yellow,300,400
yellow,930,400
brown,615,400
brown,565,400
brown,665,400
yellow,200,300
yellow,1030,300
green,550,300,400,600,left
green,680,300,680,880,right
ammo,615,250
brown,100,200
brown,1130,200
yellow,350,200
yellow,880,200
brown,615,200
brown,565,200
brown,665,200
ammo,615,150
red,150,60
red,1080,60
