brown,100,600
brown,150,600
brown,200,600
brown,250,600
brown,1130,600
brown,1080,600
brown,1030,600
brown,980,600
yellow,450,600
yellow,780,600
yellow,250,500
yellow,980,500
green,350,500,350,615,right
green,880,500,665,930,left
red,615,450
ammo,615,400
brown,100,400
brown,150,400
brown,200,400
brown,1130,400
brown,1080,400
brown,1030,400
green,565,400,300,615,left
green,665,400,665,980,right
red,615,350
ammo,615,300
yellow,200,300
yellow,1030,300
green,300,300,300,615,right
green,930,300,665,980,left
red,615,250
ammo,615,200
brown,100,200
brown,150,200
brown,1130,200
brown,1080,200
yellow,450,200
yellow,780,200
red,615,150
